ID,Nom,Date de début,Date de fin,Durée,Avancée,Responsable,Prédécesseurs,Numéro hiérarchique,Lien internet,Ressources,Notes
0,Cycle 1,19/01/15,12/02/15,19,0,,,1,,,
58,"  Réunion début de sprint",19/01/15,19/01/15,1,0,,,1.1,,,
60,"  Etude gestion des clefs",19/01/15,23/01/15,5,0,,,1.2,,,
106,"    Création/Révocation/Supression de clef",19/01/15,23/01/15,5,0,,,1.2.1,,,
110,"    Edition de clef",19/01/15,23/01/15,5,0,,,1.2.2,,,
107,"    Echange de clef",19/01/15,23/01/15,5,0,,,1.2.3,,,
2,"  Fondation",26/01/15,30/01/15,5,0,,,1.3,,,
6,"    Vue principale",26/01/15,26/01/15,1,0,,,1.3.1,,,
61,"    Configuration",29/01/15,30/01/15,2,0,,,1.3.2,,,
15,"    Mecanisme multi instance",27/01/15,28/01/15,2,0,,,1.3.3,,,
9,"    Communication avec GPG",26/01/15,28/01/15,3,0,,,1.3.4,,,
3,"  Gestion des profils",26/01/15,30/01/15,5,0,,,1.4,,,
17,"    Création de profil",26/01/15,26/01/15,1,0,,,1.4.1,,,
16,"    Profil par défaut",27/01/15,27/01/15,1,0,,,1.4.2,,,
26,"    Supression de profil",28/01/15,28/01/15,1,0,,,1.4.3,,,
19,"    Changement de profil",29/01/15,29/01/15,1,0,,,1.4.4,,,
20,"    Ouverture avec selection d'un profil",30/01/15,30/01/15,1,0,,,1.4.5,,,
4,"  Gestion des clefs",29/01/15,12/02/15,11,0,,,1.5,,,
23,"    Creation de clef",29/01/15,30/01/15,2,0,,,1.5.1,,,
24,"    Révocation de clef",02/02/15,03/02/15,2,0,,,1.5.2,,,
25,"    Supression de clef",04/02/15,05/02/15,2,0,,,1.5.3,,,
69,"    Importation de clef",02/02/15,04/02/15,3,0,,,1.5.4,,,
70,"    Exportation de clef",05/02/15,06/02/15,2,0,,,1.5.5,,,
113,"    Edition de clef",04/02/15,12/02/15,7,0,,,1.5.6,,,
50,"  Vue des commandes et retours",02/02/15,03/02/15,2,0,,,1.6,,,
